,Comment,Author,Comment ID,Like Count,Reply Count
45,Man city be like here its alright we will take premier league again lol,paul,UgyGFhJxfklZciY2CoJ4AaABAg,0,0
46,"We lost Mane bat we hape Nunes, salut prom Indonesia fanes",Wendy Maria,UgybKCHUiISdFRvUjlB4AaABAg,0,0
47,wonder,ramadhani kibaya,Ugx_liLPFFsf_LXLw3V4AaABAg,0,0
48,“ How he miss that” 🤣,Tolo G,UgwVVxsgfWf8EU2KPhF4AaABAg,2,0
49,"Nunez👍
Haland👎",Febri Yunan,UgxBCmaJ434V9t4hljx4AaABAg,0,0
50,Nunez 😍😍😍😋,Febri Yunan,UgxJWDSUINPKqtXzLvh4AaABAg,0,0
51,One thing Henderson knows how to do best is lift trophies,Adebayo Glover,Ugz6FwECpVbWbnL-get4AaABAg,0,0
52,Haeland hanya jadi beban 😜😜🤭🤭,Syaifuddin 14,UgxuLjMliYhTc0m710F4AaABAg,0,0
53,It's not a glorified friendly now Liverpool have won it 🥱🥱,NYTG,UgwQRzq0eswXGFiGTtF4AaABAg,0,0
54,3 . 0,Sharmake Abees,UgwPwIkDl4-FYL3_XN54AaABAg,0,0
55,Its still early season..but YNWA team played really well from sttikers to Adrian.Looks like Salah n new partner Nunez with Arnold combined well for this match.I beleive Liverpool can improve further esp.defence but that can b forgiven coz Man City is England champion. fan malaysia,Anwar Latip,UgxXuCqrT_o8eKrjIgZ4AaABAg,0,0
56,Everyone put big expectations on Nunez and Haaland 🤭🤭🤭,Jusuf Kurniawan,UgxbRgU3HaNHGkgTNSR4AaABAg,0,0
57,Because of the economic crisis that always comes up the best thing to be on every wise individual’s mind or list is to invest in different streams of income that’s not depending on the government to generate funds.,Sa b 🇪🇸,UgyjTVnpUGnso1Qo5P14AaABAg,19,26
58,00:55 - you just can't give Trent this much space and time.,Yonas Campbell,Ugzu4A4BcXOgJb0x6R14AaABAg,2,0
59,we never walk alone.LIVERPOOL FC,peris kavindu,Ugy7DY6qh0yMNj87rmJ4AaABAg,1,0
60,YNWA,oreg tempe,UgwO8mcm3iqWyIlDAH54AaABAg,0,0
61,Never give up......we go again💙💙💙💙,Thanzuala Khawlhring,UgzOerYuV7bgkeT9_oR4AaABAg,0,0
62,"Friendly match😂
Man united 21 > LiVARpool 16😢 
Wait for 16 years to win this friendly match again🤣🤣🤣",Book,UgwEwd5ZpldLsaXkE3Z4AaABAg,0,0
63,6x11=66,Sizwe Vuyani,Ugyt3-rbZtHTI949GAl4AaABAg,0,0
64,"Liverpool have already made their statement bt expect city to come out stronger, and city cannot afford to sell bernardo silva to Barcelona,that will be their end",SAMMY OMARI,UgxneZ1YrJmHLb8JyPV4AaABAg,0,0
65,Fans Liverpool from Indonesia 🇮🇩,Faiz Fara,Ugw-8XfIhTK7Z5FMB8B4AaABAg,0,0
66,It's no bangkok centenary cup... but it will have to do.,Benjamin V,UgyNqd_b7iU9JVyHOXN4AaABAg,0,0
67,Mad city made a mistake signing haland,Kerron Hannah,UgzYXTXqN9Q7HxYhvKx4AaABAg,0,0
68,Haaland's 400k a week in the toilet then,ZAPNEP,UgwGxzwEdqtSXR7YIbN4AaABAg,0,0
69,Unreal how Matip’s blatant hand ball isn’t included in the highlights…,Ball Winning Midfielder,Ugw_Uujwuf4P8AL6DFJ4AaABAg,0,0
70,Funny how when Liverpool win this trophy it’s massive but when arsenal do “it’s just preseason”,U lied about the soup!,Ugx-qpCq5wW-Iht78Lt4AaABAg,0,0
71,The league is not ready for bearded Milner,Neil Shinde,UgxVY5GF8VJnA7xdG2t4AaABAg,1,0
72,TIMO HALLAND!!!!,PlayMoreGuitar,UgwPl30bqpWzxOFFmjl4AaABAg,0,0
73,HAALAND 😂😂😂😂😂😂,Moaaz Hamad,UgzLl6kNe_xhxk1pLoJ4AaABAg,0,0
74,You're all idiots if you think this will effect Haaland's scoring ability. Golden boot next season.,KeNsHiRo MuRuGi,UgzOaG5uxOadaGqpxXZ4AaABAg,0,0
75,Haaland did a sterling 2.0 😂😁,JOSEPH SAKALA LV,UgzbUkP-o2OlXNLJell4AaABAg,3,0
76,"""But city need a striker, city need a striker"" Yeah right.",Neil Shinde,UgwWa-3KNi0D02sYkxR4AaABAg,0,0
77,Pep out. But Halland showed hia future prospect of becoming a killer striker.....,I Putu Myartawan,Ugx9FbvaLUKC9PgWVeN4AaABAg,0,0
78,Stefan Ortega should be on like Adrain he should win the community shield,Joe08Grealish,UgwbeLyHr1N21iUaqWd4AaABAg,0,0
79,absolutely love that Haaland just smiled the last one off,Brandon Butler,UgwNnv3QVsKpnZv9sDl4AaABAg,11,1
80,"Salah literally touched every ball before it went in the goal.  If you know, you know 🤴🏽

The GOAT 🤴🏽",Blessed 🤲🏼,Ugz-YNnvj5Dfh8PzLzN4AaABAg,21,0
81,i❤️madrid,Yulios Wetik,Ugxjqeo4cFn9uaDdF514AaABAg,0,0
82,people are saying a lot about haland missing a tap in and i promise you it’s really not that easy,ApleLab,UgzD6x7XyjdnJG6j8Xx4AaABAg,0,0
83,What's going on nunaze he is taking off the shirt 😁😁😁,Mayet pictures,Ugy7Uic-vWGxgf7hezR4AaABAg,0,0
84,Bro haaland is a beast. He's gonna score 50+ this season,Kunal Bhat,Ugw0PIClu1KRT3Wuncx4AaABAg,0,2
85,the steward’s reaction to the Haaland miss 😂,oliphericus,UgwMmI5f9lrh8xImao94AaABAg,0,0
86,Haaland lol,Jenny Carter,UgyzhNVfaOk0W27haxN4AaABAg,0,0
87,Holland is overrated,Fallschirmjäger,UgzRh7O7ButQTuSFZc54AaABAg,1,0
88,"5:05
Timo Haaland😅😅😅
Haalando Morata😆😆😆",야신,UgzcJ4YINv1e6ly5Fql4AaABAg,0,0
89,I'm waiting for Arsenal to show their new class this season,kanjanathevi k,UgyxrRP7khaaUhzVSpV4AaABAg,0,0
90,LIVERPOOL YOU LL NEWER WALK ALONE THE BEST FOREVER,liverpool fan,Ugw8D54QLxy-KJLughd4AaABAg,1,0
91,Jurge clop genius coach comeback lost mu 4-0 win mcity💪,lan,UgzD59tHEX5tndbkY1B4AaABAg,0,0
92,“Nunez will score more goals this season than Haaland”,Chickano Ponce,UgxCc42z_pDGc-vXFxN4AaABAg,0,0
93,Salah at the end mad cause of the alcohol😂,Ahmed Ghanem,UgzCxj1kC80dkTW0M1B4AaABAg,0,0
94,"My advice to erling halaand,is simple,if you see that k.Debruyne , Bernardo, Mahrez or anyone is not supplying...go back fetch n go Infront,and if passes are no coming through,or defenders are all over when you get a pass shoot from a distance long range..don't even worry about distance,in the epl you will score long range drives,weigh all option,don't even worry they will adjust on their own...but just do yo! Brian maDVD",Brian maDVD,UgzEy7X7RJ6yJ39M6K14AaABAg,0,0
95,Missed the match. But ey. The match was exciting. Hallaand is going to be the best.,Murunwa Methula,UgyqRdpbESmm9bVg-Jp4AaABAg,0,0
96,haland ball flying in the sky......,aan brandon,UgwRCm5BrAtFfoXBtCZ4AaABAg,0,0
97,Nunez first silver in EPL. Well done! Too bad for Halland.,Cyrus Virus,Ugw8AnAMdrsYsevKmQ94AaABAg,1,0
98,"I'm a Man Utd fan. As much as I hate these 2 teams in EPL, I can't deny that they are now the real Giants of EPL. The chemistry that was build in the team was truly undeniable. Well done! Hope to see a better season for Man Utd next week!",Cyrus Virus,Ugyol2ExsM_eKQ3Aldp4AaABAg,2,0
99,Adriaaannn on firee,Faisal Akbar,Ugylnr-hG1hXDtIK_BV4AaABAg,0,0
100,Klopp should tell some players to play till end of action instead of arguing with referee. TAA could stop that goal and Henderson at least twice lost ball for this.,Paul Le Roux,UgzsEr3T6mcXkWaPqMZ4AaABAg,2,0
101,not offsdie,Armarg666,UgyDUTdiW4niHH_mVOJ4AaABAg,0,0
102,Citys goal was a foul on adrian.,Cameron Betts,UgzkDqZWU0o-WIodnad4AaABAg,0,0
103,"salah oh salah 
we love u",agenging2 maliki,UgxHfEJuHCpZ14ife0F4AaABAg,0,0
104,All that just to get eliminated by Real Madrid in UCL,Superior Gaming,Ugw2PmioCMZbDqZ6tbF4AaABAg,0,0
105,That penalty is so jammy,Wiz,Ugx_i4zD5HMJ8F23p714AaABAg,0,0
106,Adrian was underrated in this match considering he rarely gets game time,Madagascar Mapping,Ugwbw9wHs7S8Kk0cT2V4AaABAg,13,0
107,Halland u not will sukses here...this premier ligue bro,HABE EN chanel,UgzLcjohF6xVgvvcc094AaABAg,0,0
108,"Liverpool's attack this season could be very lethal with the likes of Nunez, Salah, Diaz, Jota and Firmino😳",BJ_THUNDER,Ugy-mBIDpqjHNwhxB8B4AaABAg,27,2
109,สุดยอดครับสำหรับทีมรัก.,Prapa Sirimas,Ugw2cw7HNES9w1HzCWF4AaABAg,0,0
110,There's obviously an haaland agenda when no one is even critiquing that open goal miss,zain ali,Ugy3qKdeH5J_kZoezol4AaABAg,0,0
111,Oh man again this loser lost...Pep Guardiola...🤦🏼‍♂️,Luan tajaja,UgzLPbTN9PzzRqsXew54AaABAg,0,0
112,Battle of the Andy Carrolls👌🏽,l LordofGod,Ugwa9ZnhsKOqFwXXDYl4AaABAg,0,0
113,Hallard is the best young player,Mxolisi Nzenga,UgxCg1-HQ6VwaQVUquB4AaABAg,0,0
114,Liverpool  💕💕💕💕🇧🇩🇧🇩🇧🇩,RASEL GAMING 7T,UgyYGGTUolJG5qtGWX94AaABAg,0,0
115,Fodens with his hand up wants it and geeets it💥💥💥KDB things,Vence Gaming International,UgxEoVXi5FdlJzAlXNJ4AaABAg,1,0
116,Los chiquitines volviendo a su realidad y eso es para que respeten a su papá Liverpool,Gadiel Suarez,UgznkomMwDJnsdDxrwR4AaABAg,1,0
117,"Scousers  always hyping  their Players up...Luis Diaz is the greatest signing , Darwin will get 4 Golden Boots , of course hahah",ReplyKonter,UgzKnMXrY2Ow-B7TeeZ4AaABAg,0,0
118,Sarah target fail but messi one chance one goal,SAMSON EZEKIEL,UgyP34zejzoPHUwqIQV4AaABAg,0,0
119,City's goal should have been a foul. The goalie fully had it in his possession. Also liverpool's penalty goal was lame becuz I feel like if the ball hits a hand accidentally the player shouldn't be penalized for it. If it's clearly intentional that's different but I have always felt like the handball rule needs a overhaul.,All Up In Yo Mommas Guts,UgxqmF1bfVdRkh-Prux4AaABAg,1,0
120,That was some beautiful football on display. Great game. Great advert for the PL,Simon RB,UgydovFDy6tw8kOGn054AaABAg,9,0
121,Liverpool nih boss,Bismi Hi,UgzP5oZYnjDyzB7yDxJ4AaABAg,0,0
122,Very the best,Bismi Hi,UgwmXRQPGvETK5a-QMV4AaABAg,0,0
123,Liverpool is the best of england forever,manuel esteban herrera bugueño,Ugw-p1peYIZlEb-Xi414AaABAg,0,0
124,Hhhhh holland 😂😂,MUSTAFA FAROUK,Ugy53HKVEd6eLy8tsD54AaABAg,0,0
125,"All this haaland hype, that open goal tho 😂",Daniel Sell,UgwWJsfXs8Vi4VMAmUd4AaABAg,1,0
126,No Haa-Land in sight for ye Oilers,Andrzej Kopalnia,UgwbUJNZ5Zm6SMipaHt4AaABAg,0,0
127,Keita has been underrated far too long. His calm pass that led to the 3rd goal was fantastic,Stephen Kwakye,Ugx_0AzVEzmNGh-jQbh4AaABAg,0,0
128,"Haaland and Nunez are both great players,  anyone saying different needs to grow up.",Sparooga,UgyCuMnF5Kwf_aJoQtt4AaABAg,0,0
129,even if that ball hadnt hit his hand it wouldnt be dangerous shouldnt be handball unintentionally unless it results in a obvious chance miss,Lonne Studio,UgyJstMXhZ_lFw-ESE54AaABAg,1,0
130,"Haaland is human, after all.",Lewis Scorer,Ugz5giQarT6FNCYVQ1V4AaABAg,0,0
131,haaland miss of the season already haha,Teddy,UgzJqw7K05C7rZR989d4AaABAg,0,0
132,"Now weve got the community shield, will it be called the quintet  this time",Geoff Corlett,UgwMHNlbdjNWQMdTMrB4AaABAg,0,0
133,Respect Liverpool,Joas PL,UgxtRimSqroFHA1YKRJ4AaABAg,1,0
134,Liverpool squad looks thin. I hope our key players stay injury free otherwise it will be a long season.,JD Hakiza,UgyBLxiaIjHFYIN-8J94AaABAg,0,0
135,Remarkable fooball spectacle by Liverpool. Great contender for the next UCL edition.,Jakub Kornacki,UgzEG_yNd1JXHkSRvYx4AaABAg,2,0
136,Nathan Ake medioker amatir,Zhakera Trunojoyo,Ugzj6i2fy_T4nX09uF14AaABAg,0,0
137,Lemme go watch the videos when city beat Liverpool 4-0. Or the one when it was 4-1. Or when city won the title 4/5 times. Or maybe the 5-0 win. So many options. Maybe I should watch all of them.,Will Lyons,UgxsKuX10E8MgJCQPwJ4AaABAg,3,10
138,"Very messy goal conceded by Adrian, lucky the second VAR, Salah and Nunez spared any blushes the goal might have led to 🤔😀🤘 .

(Not that the Charity Shield matters THAT much anyway 😀...)",tanner1ie,UgwSjzPdvtq65yJRevJ4AaABAg,1,0
139,''Haaland surely no' couldn't get worse,clinton morara,UgyVXNAlU-GRCbD57VJ4AaABAg,0,0
140,And they compare haaland to cr7 and Messi lol,Auto Body Monzon,UgymoD8-g-meHe3hjVh4AaABAg,0,0
141,Adrien got Some saves thess game,Joppe Lundberg,UgwW5YgDu7IkO7M815V4AaABAg,0,0
142,Penalties for accidental handballs are possibly the dumbest rule/punishment in all of professional sports.,wally,UgzoGAt1EoeawODW6OZ4AaABAg,1,0
143,Salah 👍,Syaiful Bahri,UgyqqPz8sJqWfpaIFXN4AaABAg,3,0
144,Wonderful 💋💋💋💋💋,Exotic love channel,UgyxytWOaXIV83tRNDd4AaABAg,0,0
145,Okay still missing Mane,Ejiro Anuyah,UgwuSWcie9d6eE8MvsJ4AaABAg,0,0
146,Love how VAR focused on the offside call (which it wasn't) but failed to see the foul on Adrian. EPL refs are such a poor standard.,Matt Wordsworth,UgzG15MrlSnpIEcySVV4AaABAg,11,1
147,Great for the confidence going into what promises to be another tough season. But they have to figure out how to beat City in the league. They're the fixtures that have decided the league three times out of the last four.,SZITHAANU,UgxhnWXEDxS8mdwvVI94AaABAg,1,0
148,selling sterling was a huge mistake for city,Kenyan Simpo,UgwLAQtG2MzW3A8EWnF4AaABAg,0,0
149,Haaland bakkery,Jihad,UgxbOlliKIaLLTT8R5l4AaABAg,0,0
150,Liverpool is the historical and big club in Europe,Musa Mammadli,UgwIHp-sniRfZgsjKn14AaABAg,1,0
151,"la logica de la gente, Darwin Nuñez 1 un gol ya es mucho mejor que haaland se merece el balón de oro, Messi se queda pdjo ante Nuñez, ahora si benzema ya tienes competencia, lewandowski eres nada a un lado de Nuñez por qué ya tiene un gol, cr7 tus 5 champions no se comparan al gol de Nuñez. A pero si hubiese perdido, regresa Mane, nunca debimos fichar a Nuñez, Nuñez regresate a la primeira liga. Un partido no demuestra nada, si es muy buen fichaje pero aún ni empieza la premier bien y la champions, éxito para ambos la verdad.",LUCHO12,UgyVZ6-e7lZBqMc4t4x4AaABAg,0,0
152,Bro Nunez scores a tap in he acts like he won the premier league and the champion league calm down,Please enter a name,UgxKuWcRnIl1ZOCDG0h4AaABAg,0,0
153,NWA. cheers 🍻 champions from Ecuador. First title.,soy imparable,UgxPfcA8d5gBx2hggkp4AaABAg,0,0
154,Vamos,Anas Fadhillah,UgwFLcfmqa3l5-DgDyF4AaABAg,0,0
155,Who cares! Chelsea are going to destroy you,fluffball 666,Ugxp8HKzRZ91p0usUbp4AaABAg,0,3
156,Wielkie GRATULACJE dla Liverpoolu za wygraną😉👍👍🏆. Pokazaliście zadziorny charakter 😊😝👍👍,Nikola Zygmuntowicz,UgwUlehrYd4bBaF4O8p4AaABAg,5,0
157,Adrian has been taken trophies home 😄,0ne sixteen200,UgyH1lWjxrMM8i5rJF54AaABAg,0,0
158,Give it to Liverpool,Joshua Chol,UgxlvupK2LvK5jT0FaZ4AaABAg,0,0
159,What a game,0ne sixteen200,UgwedFQq09p6GZSMt0V4AaABAg,0,0
160,Haaland and Nunez are still unproven in the Premier League. And they still aren't. But we all know that Haaland is the better player overall still. Just need to prove he can get it done with Man City.,MilleusPetrozza,Ugy8kzAhPU2kE1wNBxB4AaABAg,0,0
161,Manchester city,ARJUN K MOHAN,Ugy3II7HpYRHdCIqsWZ4AaABAg,0,0
162,🔥🔥🔥,Caio Bittencourt,UgxpfeoaEAC7MvaNW4Z4AaABAg,1,0
163,"King Salah ❤🔥👑
All 3 goals come from Salah touch",DR_MERO 🦅 AL_AHLY 👑,UgxSLbnOMkwWLIh1XSx4AaABAg,13,0
164,Congratulation for LIVERPOOL FC from INDONESIA,Ardi Permana,UgzvmPm8C9oGQK8Vlal4AaABAg,0,0
165,"Lindo gol Darwin, felicitacioneS",Luis Greno,Ugybv1f2gjqkbg3JXZR4AaABAg,0,0
