,Comment,Author,Comment ID,Like Count,Reply Count
0,Auba is super striker,Julien Salvatoré,UgxQsJt-XfO-BksYmMZ4AaABAg,0,0
1,3:06 pone 4-1 cuando quedó 4-0,Alejandro Bravo Encinar,Ugw-J4RcOIV7eS29w6B4AaABAg,0,0
2,AUBAGOOOOOOL!! 💙❤💪,ANSU,UgwqrFqNGtJUwyg9Qmt4AaABAg,0,0
3,AUBA💪❤️💙,Aren,UgzOvmVSe2rOFxN57Zh4AaABAg,1,0
4,Listen to the beat and watch his movements 10:16,Man Like Khalifa,Ugx1AXxm1sXEaPBTh_B4AaABAg,0,0
5,HOW AUBA STEAL PEDRI'S GOAL XD,COYS YT,UgwSfYlGzQcVgyzgcRd4AaABAg,1,0
6,"Jugadorazo, el mejor fichaje de invierno. Gracias por querer venir a aportar al equipo Auba 🙏🏻",Luis Avendaño,UgxRvltmfpzrgfdTIgl4AaABAg,0,0
7,Simply class,Chaitanya Dave,UgyuASCECvmVYKaG3K94AaABAg,0,0
8,Aubama Who? Aubama What?,Isaac ML,Ugzke4B-E2hW6-n4wMZ4AaABAg,0,0
9,Yo cuando vino Aubameyang al Barsa pensaba que no iba ha meter goles pero hostia ha metido muchos,Esther Mendaro,Ugx2n36QtRKgm_rL3xd4AaABAg,0,0
10,Que fichajazo. Ay si hubiera venido en otro momento 🤘,JM TV,UgzXXZuqxIyyQbkW8Zh4AaABAg,0,0
11,Only 2-3 goals where not assisted by Ousmane,Selam Araya,Ugw5Q5NOjgSj3iWXBOZ4AaABAg,0,0
12,Most underrated player in history of football,Cactus Play,Ugze3vlCMfd9Rw8I4Ah4AaABAg,2,0
13,😴🥱,Yimy Valencia,UgyrhgeQh5_3Fi6oXQp4AaABAg,0,0
14,Gavi probably watched auba do the flip on tv when he was 10,Dawg,UgwtuWrEtySwf_zRMmd4AaABAg,1,0
15,Best stricker in la liga,mazmaz for games,Ugx_62njL2C--2E7t0V4AaABAg,2,0
16,Plus bon que Suarez,Karamoko Diarisso,UgxWu1eq_9d_n1Vkp1Z4AaABAg,1,0
17,Stunning Striker,Yoel Arokeum,UgxUJ-YoserqMQKLjYp4AaABAg,0,0
18,Pedri🗿,Nurtilek Amanov,UgxqBfk58t5SslPNlr94AaABAg,0,0
19,oh man that screamer was pedris goal. Nevertheless Barca are looking fire now.,ZUBAIR BINIMRAN,UgyxbmKrmEI-ndKehdt4AaABAg,0,0
20,Chelsea vs Udinese 3-1 Extended Highlight All Goals - https://youtu.be/G0rdlv_IfyI,Satyam Dalai,UgyiWjxFodxXMyNr4Dp4AaABAg,0,0
21,It is incredible how many goals he scored in just 6 short months.,Aubrey Tilemanh,Ugz48jE2XRwS_7mDL0R4AaABAg,3,0
22,Auba dembele......,Jose Mario,UgwG6dL3y_HBpBzrT6V4AaABAg,1,0
23,"Error: El marcador del Barca contra Athletic no es 4-1, es 4-0",NachoRap,Ugz5MdLy5wMuXteoOLl4AaABAg,2,2
24,🥵🙌,Cinephile🙂,UgxA4shdzRpqfgkqNCl4AaABAg,0,0
25,Auba.. 👏👌,Alfredo Pacheco,UgxcWoyB-ZAJCMpcChB4AaABAg,0,0
26,"Una linda sorpresa ver cómo ha rendido Auba, si con sus 30's hace esto no me quiero imaginar lo que pasaría si hubiera caído al Barça en su prime, me da la garantía de que incluso si por algún motivo falta Lewandowski no hay que preocuparse tanto, porque tenemos a otro 9 genial con nosotros, Pierre Emerick Aubameyang, dorsal 25.",Escritor Sangfroid,UgzNH0hNtadhHjdrVAx4AaABAg,3,0
27,Auba nos salvo de europa league junto a memphis,Joseph Saldaña,Ugypl3zp16TSaRt3rLh4AaABAg,2,0
28,Aubameyang es un crack💥⚽️,Wil Eriksen,UgwExrwx2aO-sygzMBd4AaABAg,3,0
29,aubameyang é lewandowski visca Barça 🟥🟦,Valdson Justo lima,UgzMxsk1k85rJ9DLctx4AaABAg,1,0
30,"Nunca, NUNCA, voy a olvidar lo que hizo este señor para nosotros.
Eternamente agradecido",Luciano Garin,Ugw0yX--9JBz3_Mdxl54AaABAg,56,0
