,Comment,Author,Comment ID,Like Count
0,What is the name of the song in the ending,Divyansh Giri,UgwKnIGH9Mrg2ZjHsld4AaABAg,0
1,trt not to laugh in valorant tha ki f-a-two ko todna tha 😂,Chirag Parmar,UgymQSYa2L5CkL_22fl4AaABAg,0
2,6:15 jett totally harmed in the video😂😂,Priyanshu Garg,UgwPN1T-0C7XSjUUUsl4AaABAg,0
3,Fa2 was not harmed.......,SWARAJ KUMAR DHAL,UgzyWmIC5zIpKoKsnnd4AaABAg,0
4,song name : Young Boy Miracle - NECTAR,VISHNU,UgyV0yPeZXSAqTIISsZ4AaABAg,1
5,Song name please,Ritesh Choudhary,UgywVnWbUTHK5BORa6d4AaABAg,0
6,6:18  was really epic 😂😂 jett udke aaya muh pr xD,Sameer Nannaware,Ugx7tHEO8JV6hcdZnIN4AaABAg,0
7,WHAT'S THE OUTRO MUSIC ?,Mainak Paul,UgxAxTSWPvwwQ3OsHhd4AaABAg,0
8,😂💦,COBRA OP,UgwpGToTwV1EltpcbW54AaABAg,0
9,Whenever Goldy bhai whiffs : salay itna shor machate hai 😂😂,Ali Khan,Ugy1eFOcf99vaySa0E54AaABAg,0
10,Try not to laugh or Fa2's roast video 😂😂,manas mrinal,Ugz8DJ4vpHL7sGtaPSh4AaABAg,0
11,Nirodh op,1nXane,UgzTzNqiXU2E9syRyDx4AaABAg,0
12,Bete Ko Kyun Toda ,Sai Siddharth,UgyVuNlzSqWh3uRMkMl4AaABAg,0
13,Nirodh,Justin Ezz,UgwK7_lZOwsD3h1HEn14AaABAg,0
14,6:15 - Yeet,Tushar Chawla,UgznBwrJhGC_diPmY-J4AaABAg,0
15,😂😂,sourabh srivastava,UgxfEeBn_wfY8UFbqTd4AaABAg,0
16,Bhai aab phirse competition bandhne wala hai pc walo ke liye 😂😂,Suraj Barman,UgzLp0frSdfIp5jYx014AaABAg,0
17,Tbone bhai ache din aagaye,Pprx kumar,UgzJHngP8pknufrKnxB4AaABAg,0
18,This video was all about nirodh 😂😂,Naik Vlog's,UgyOpCc0AMUy8FuvLRt4AaABAg,1
19,Fa2 Bhai ¹ % bhi nhi harm hue 🤌🏻,IG ADMIN 07,UgxyxnedZpbFN0XvHGF4AaABAg,0
20,🙏🏻🙏🏻❤️❤️❤️,Happy Singh Gaming ,UgyMujLmiS_CFn0fkyd4AaABAg,0
21,6:15 watched it literally for 100 times,Emran Hashmiii,UgzhAEWrGddvl4KtLOJ4AaABAg,20
22,Hilarious 😂,Rayman Gaming,UgxqL2fsR4DmMA5VVjN4AaABAg,1
23,1:59😂,Mayank,UgzUCLrWwnc7YRfHUWl4AaABAg,1
24,RIP Fa2  ki ijjzat🤣🤣🤣,Amey Gadkari,Ugxv5a2bbaJz54ie9qF4AaABAg,0
25,"tbone, goldy bhai , anna,fa2,eupho the best valorant content team!!!!!!!!!!!!!!!!!",Sivam Anand,UgwlJmSIcCWkTkUhlOV4AaABAg,3
26,Kandoom op🤣🤣🤣🤣🤣,Vineet,UgxyLQYfcnGN8jbkPTV4AaABAg,0
27,OGs ❤️,Mayuresh Dawkhar,UgxsJGg36yuH-3YrEa54AaABAg,0
28,mza a gya hs hs kr pet dukh gya,DHEMANT TRASHAWAT,Ugw0L80rUpAgW12XmDB4AaABAg,0
29,Rp khel,Fitness Beast,Ugx5nIICodtO9YV3PDJ4AaABAg,0
30,"As always
❤
Winning hearts💓",BGMI Lover,Ugyoam4NBsmC9yhIx2l4AaABAg,2
31,Tbone ki real fublic watched all of this on live,rxhan,UgyzvcylBDBqrF741bd4AaABAg,0
32,Editor bhai sahab,e@sy tech2,UgxMJGinYxgqxF42veJ4AaABAg,0
33,Tbone bhai issee sachi me Fa2 roasted by tbone ft fa2 dalna tha majedaar highlight,Utkarsh Agrawal,UgxN0CJKWPKherfsdQF4AaABAg,0
34,🤣🤣🤣🤣🤣🤣🤣,shaikh,Ugy0hFxwfuP2xSfpKqV4AaABAg,0
35,The real question kya FA2 ne Cundum Lgaya hai🤣🤣,Rehmat Sachdeva,UgwRzjETMgAX0qXpaux4AaABAg,0
36,What is the outro song,Adis Dey,UgxtE8D5FIc_QOQXjMh4AaABAg,0
37,6:15 Urta gaand tbone ko saaje,10r Kid,Ugzrlcn1ZVZL616ZMOR4AaABAg,0
38,xd,NamanFTW,UgyQT4xpzdv51OaOj9p4AaABAg,0
39,"aaaaa chalo , ye video be gaya rye  baba ///////",Tharun V,UgxqGu8VevembrX_AvZ4AaABAg,0
40,Try new some highlights! Wahi same.. effect,Ankur Maurya volgs,Ugxd_R1z1--cN5VH8Oh4AaABAg,0
41,Tbone 💓,Liston Dsouza,UgxGrcPr2fBQK-WQj6d4AaABAg,0
42,18+ daldo title pe!😆,Vijay Aditya,UgwaWSitcDunzJiuq7Z4AaABAg,2
43,happy bday jodd,Vaishnavi Tawde,UgzO_ZM57Sw9JHZCTIJ4AaABAg,0
44,4:34,IMMORTAL X,UgzF9T1pYkQA564IgUN4AaABAg,2
45,Best laugh = Anna 😂,AC,UgwqiEN-q3_P3sU8nr14AaABAg,3
46,Matlab aisa kuch nahi lekin anna ka recoil control spray tbone vai aapse to aaccha hai 😂,AC,UgxUTI9zBc_nMXkPN9t4AaABAg,1
47,Happy birthday Jod ❤,CoPy NiNjA,UgwjDF1llMhG2Gk58K94AaABAg,2
48,RIP FA2😂😂😂,Omkar Sawant,UgzshxFplqdhe_n3TYJ4AaABAg,0
