,Comment,Author,Comment ID,Like Count,Reply Count
0,Watch Farzi Mushaira for FREE on miniTV on Amazon's shopping app - https://amzn.to/3P0FFbh,Tanmay Bhat,UgxhlSRwHpK5l6ARmc14AaABAg,793,31
1,You is the because my mood is now better,meeranOP,UgyAQPis_2VpxEsXQW14AaABAg,0,0
2,It feels like we are seating with thm and having the same fun 🤩,Anmolll,UgyHULCF3TFvPSCOLaN4AaABAg,0,0
3,What idiot called it Wajah Tum Ho and not You is the because?,Hemant Mandaliya,Ugx0LgTPvLuxpilROxJ4AaABAg,0,0
4,"Tension flys away for few mins, you is the beacuse",Tejas Sawant,UgxNcwzwfY4sst6nsIR4AaABAg,1,0
5,Yeh last wali shayari ke liye show dekhne Jaa rha hu,Scathan,Ugz9IbR87Z_UmkZrm514AaABAg,0,0
6,You is the because 😂,Kasturi Shinde F.Y.B.A A066,UgxjyJ45rUJlk3KP2GF4AaABAg,0,0
7,I watch episode like this .. you is the because,Adarsh kumar Pant,UgwwaMWCgSVCQT-0Ehx4AaABAg,0,0
8,Why does Aishwarya doesn't appear in video of yours anymore?,Rahul Pant,UgwdZMoAjwAyn9_PixN4AaABAg,0,0
9,@tanmay Bhat seriously the Pakistani series are the best thing you have ever done.,Danish Shaikh,Ugz-qZlP_1AsJZDO9zB4AaABAg,0,0
10,7:10 Konsa Andaz Apna Apna dekha bhai jisme Govinda aur Juhi Chawla dikhe tumhe,Saurav Verma,Ugy4rLcsJUkHxli2Pnp4AaABAg,0,0
11,"I'll watch ""Farzi mushayra""...  YOU IS THE BECAUSE.",Prutha Bhatt,UgwzZIhepcNnFYzc9u54AaABAg,0,0
12,This video is sponsored by two rings,CHETAN SHAH,Ugym8xnBfQNA54J3WCd4AaABAg,0,0
13,Duniya ka mja le rhe Ho tum....,Arjun!Manhas,UgwuU9Xusmu2AF9MHwB4AaABAg,0,0
14,bhai gullu bhot agge jayge,ajay K,Ugz3dP2tO5HsAqPhAqB4AaABAg,0,0
15,too funny,Akshat Singh,Ugzc-7TP5PfHkbzhR0Z4AaABAg,0,0
16,Now I come on this channel for billu 😂,Apex Wolf,UgzItRTT1sAL6eAb2gZ4AaABAg,0,0
17,Tanmay Bhatt and Episodes with Pakistanis are the Best....,Danish Shaikh,UgzlcWnYmhBKfj2SER14AaABAg,0,0
18,Can we just appreciate the beauty of the wall behind @zakirkhan 🙏🤍🌸🤲🏻🌟 tanmay's channel is about humanity♥️,Mishail Goyal,UgwNUl_7BcxwzVEcV7l4AaABAg,0,0
19,"पहले उसने रस कहा फिर गुल कहा फिर ले कहा
इस तरह जालिम ने रसगुल्ले के टुकड़े टुकड़े कर दिए।😂😂",Ravi,UgwMfFxijSKgoU3Y5VN4AaABAg,1,0
20,"I still trying to find out Mai kyu dekh rha tanmay bhat
Sorry 😔 Aliya bhat ke pyar me pagl hh",btwitsuzaif,UgzehNlPHNoc-xn3W9l4AaABAg,0,0
21,this series is sooo damn funny. had such a bad day nd now i m all cheered up.,Ak Bajwa,Ugz8cuRyZ-3hSpxTxVJ4AaABAg,0,0
22,"Did somebody notice there is a picture of Waheguru on Zakir's wall 🧱
Yahi to khubsoorati hai mere desh ki 🇮🇳😍",Raushan Kumar,UgwoOrw1ctaJILFZEIF4AaABAg,0,0
23,"Why I am laughing 
You is the because 🔥🔥",Meena Dhanorkar,UgxGOIbkNm_cF_wY55N4AaABAg,0,1
24,My depression is gone... Tanmay sir - you is the because ❤️,Shakti,UgxnoGSnuyGVy3waNKl4AaABAg,0,0
25,"""LAUGHTHER IS MY CAUSE, YOU IS THE BECAUSE""",Anjani Panwar,UgycR1HvBB7fiWVF5ct4AaABAg,0,0
26,my day just got better why? tanmay is the because,Vanshika Malani,UgxPUR8XFgm8CrJxQ5p4AaABAg,0,0
27,"you is the because

8:45",TheSinghaa,UgzSbN_Cxb8_mEKjUWh4AaABAg,0,0
28,Love From Pakistan 🇵🇰 ❤️🥰,HAN EDITZ   •  313K views  •  3 hours ago,Ugx0f1vxJcK2mPZTmP54AaABAg,1,0
29,Love From Pakistan 🇵🇰 ❤️🥰,HAN EDITZ   •  313K views  •  3 hours ago,UgyZBviRTKGVeKYkqaF4AaABAg,1,0
30,"Why am i addicted to Tanmay bhat -
“YOU IS THE BECAUSE”😂",Flaming Error,UgwWEDiC_nJSZ5zjACZ4AaABAg,1,0
31,PAKISTANIS ARE SAVAGE PT.8 ft @Zakir Khan,Promaxd,UgyTPoCS14ioPUQWunF4AaABAg,1,0
32,You is the because,Anmol Nayak,UgxiswPxJpN_EIG_mAZ4AaABAg,0,0
33,Punjab police rock gangs shocked.,Harshit Gupta,UgzbDnfJZ-hir583d9l4AaABAg,0,0
34,me to zakir ..you is the because i watch this channel.,That College Guy,UgxF37qm7gfFO_hFsFp4AaABAg,0,0
35,"""mai jo jee raha hun you is the because""",ROHIT,UgzVCk2jH0Hu3vepeCN4AaABAg,1,0
36,Outro was the best,MONITOR-MIND the OVER-VOID,UgyR6nTpRgSfkXL3NKN4AaABAg,0,0
37,"Tanmay I wasn’t feeling good today and then your video dropped, I feel positive now you is the because 😀❤️",Mohit Kumar,Ugw1YR_3nmVEeu5CEON4AaABAg,0,0
38,Amber was not hurt,TANJIRO.....,UgxiC5QCdG_hYqkiAPt4AaABAg,0,0
39,Lwde  pakistani hai kya jab dekho pakistan savage,Priyanshu Kumar,UgwxUdYej_J22LxB5vh4AaABAg,0,0
40,"10:16 same here bro my crush always copy me so I was thinking to say that three word ,You dirty Mine🤪",No top up gamer-FF,Ugxpc-BHhrsoQQofhLJ4AaABAg,2,0
41,-YOU IS THE BECAUSE!!!!!,Ak S,UgwymCZKaPc89sbRYB54AaABAg,0,0
42,Good to see the gang back esp. Zakir Khan. Aap sab logon ke laughter hi bahoot mazedaar hai,Sapna Sarfare,UgzKtcW9ixFdd76fxoN4AaABAg,0,0
43,my name is also saad 13:36,sayed ali,UgwqK9tS1xd22fqw3114AaABAg,0,0
44,It's funny how he messed up the name and ended the video.,Mohit Rohit,UgwMNGDQyeH-fjd2Tvx4AaABAg,0,0
45,Bahiya aa gye views lene,jake,UgyE5dY6APitVTXcaJl4AaABAg,0,0
46,Tanmay's love for Pakistan is something to think about😁😁😁,Yuvraj Singh,Ugzjg1uVpPz8c_ny1ZJ4AaABAg,0,0
47,"I got a new life i just fired bullet it goes just close to my body
thank god",Vikash Yadav,UgyTVkOTEzHv_wk7eAp4AaABAg,1,0
48,"Ye video mere suggestion me ku aya i have no Idea but After watching likes and views of this video i am 100% sure ke me ias easily ban jaunga kuki max indians ka dimag to jhutano me hay ?.
Like Do u really watch these kind of video and tume ye funny be lagta hay?",Winter Night,UgxWTAbjtsn1hPJWeWp4AaABAg,0,0
49,Milf was repeated,Arun Kurian,UgyfgItXjchWOH1uGSp4AaABAg,0,0
50,"We all are happy
You is the because 🙂",Sanket Sinha,UgwxU7biSlNzmG1j-cV4AaABAg,1,0
51,Adhey toh Pakistani bhi nahi hai,Legend,Ugzue78q2n8w58Q6EXV4AaABAg,1,0
52,Love from Karachi ❤️,omer shabbir,UgxMTwi6CdZ0nOs9A_V4AaABAg,0,0
53,Comrade,COMRADE07,UgzzPff8HyddecycxYl4AaABAg,0,0
54,U is the coz,Mr Dextro,UgzHGE0MYmRiUnrfUct4AaABAg,0,0
55,You is the Because 😆,Partha Das,UgxnfO23rTzn8EmD-oV4AaABAg,0,0
56,"hume haansi kyun aati hai 

you is the because",Himanshu Goenka,UgwuMlohCnZRqPC-ow94AaABAg,0,0
57,andaz apna apna me govinda aur juhi kahan the😂,Nirbhay Kumar,Ugxqz8kl4cVGgvbQ6zt4AaABAg,1,0
58,"after seeing Gopal Sir, now I only remember ""Dil tera tutuga, to pata laguga.""",Jayvishwa Hiwase,Ugxne7MA37HSXwZp35p4AaABAg,2,0
